#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2861	5306509	52	N	N	1	*	2861,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541,-4541
contig_1881	5179975	51	N	N	1	*	1881,4377,4378
contig_673	5152633	51	N	N	1	*	9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,8566,463,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,673,-1874,-340,613,-1056,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,646,1871,-8533,1872,3257,-1873,123,124,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114
contig_914	5025318	52	N	N	1	*	2449,-6262,-6260,6266,914
contig_1790	4703882	52	N	N	1	*	1790,-6062,-6061
contig_1621	4612812	51	N	N	1	*	-31,-30,-29,-29,-28,-27,-26,-25,1621
scaffold_1356	4607894	52	N	N	1	*	2424,-2423,1355,2326,1356,7596,-7597,7596,-7597,7596,??,8855
contig_1794	4490391	49	N	N	1	*	-7735,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,-7732,1794,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
scaffold_2248	4444495	52	N	N	1	*	2248,-8242,8243,-8242,8243,-8242,8243,-8242,8243,-8242,8243,-8242,??,-8862
contig_854	4415712	52	N	N	1	*	2361,854,6258,6260,6263
contig_2072	4344435	52	N	N	1	*	2072
contig_915	4198613	52	N	N	1	*	-237,915
contig_1217	4021043	51	N	N	1	*	1217,1218,1218,1218,1219,1220,1221,1218,1219,1220,1221,1221,1222,1218,1218,1221,1306,1218,1218,1219,1220,1221,1221,1218,1218,1219,1220,1221,1221,1223,1224,1218,1218,1219,1220,1221,1221,1218,1218,1219,1220,1221,1221,1218,1219,1220,1221,1218,1219,1220,1221
contig_1425	3844560	53	N	N	1	*	2496,64,64,2496,64,64,64,64,2496,64,65,64,-1019,64,64,64,64,64,64,65,65,64,64,65,64,64,64,8573,64,65,65,64,64,64,64,64,64,64,580,64,8573,64,64,-802,64,64,64,65,65,64,64,64,8573,64,65,64,64,64,64,64,64,65,64,-353,64,64,64,8573,64,65,-353,64,64,718,64,64,65,64,64,64,8573,64,65,64,64,64,64,64,64,64,580,64,8573,64,65,64,64,64,64,64,64,65,64,64,580,64,8573,64,65,64,64,64,2,64,64,64,65,-909,64,-908,622,65,64,64,-908,65,64,64,64,-908,64,64,580,64,8573,64,65,-353,64,64,2,64,64,64,64,64,-907,1425
contig_1038	3735601	52	N	N	1	*	1038,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
scaffold_1859	3705860	49	N	N	1	*	1859,7563,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,??,-5232,5231,-7574,-7104,-2579,1204,1204,363,363,363,363,363,363,363,363,363,306,307,307,307
contig_1781	3672146	52	N	N	1	*	119,119,119,119,1781,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,-2304,-675,1059,1059,1060,-153,-1903,-152,-152,-151,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296
contig_316	3609358	51	N	N	1	*	121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,316,-2018,317,317,317,317,317,318,2017
contig_1765	3536203	51	N	N	1	*	2749,2749,2770,2771,2749,2749,2765,2749,2749,2749,2749,2786,2749,2751,2749,2749,2749,2787,2788,2750,2749,2749,2749,2789,2749,2750,2749,2749,2765,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,2790,2749,2749,2749,2749,2749,2749,2791,2749,2774,1765
scaffold_8845	3458626	49	N	N	1	*	8845,7221,??,2345,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
contig_1391	3444640	51	N	N	1	*	1391,*
contig_2351	3439839	52	N	N	1	*	-7634,2351,4532
contig_2136	3422507	51	N	N	1	*	4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4542,2136,3329,-8712
scaffold_1795	3342723	52	N	N	1	*	47,47,47,47,47,47,47,47,47,47,1795,-4816,-4816,-4816,-4816,-4818,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4818,-4816,-4816,-4816,-4816,-4816,-4818,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4817,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,-4816,??,2123,5714
scaffold_1831	3274501	53	N	N	1	*	-40,-40,-1791,-1831,??,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7484,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7485,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,1780,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114
contig_2030	3239295	52	N	N	1	*	2030
contig_1417	3179756	54	N	N	1	*	8655,1417
contig_1035	3125924	52	N	N	1	*	*,1035,1036,1036,1037,1036,1036,1037,1037,1036,1037,1037,1036,-1835
scaffold_2649	3118787	45	N	N	1	*	-5062,2649,-7774,-7773,-7774,-7773,??,6181
contig_1620	3065538	52	N	N	1	*	-1825,64,65,65,718,64,65,64,64,65,64,64,832,64,64,64,64,64,719,622,65,64,65,65,1620,-79,-79,-79,-79,-79,-79,-79,1694,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-417,-417,-1373,92
contig_509	2967745	53	N	N	1	*	-874,-878,-878,329,760,-8625,-1119,-1118,-1118,-1118,762,762,762,762,762,-1498,509,-64,-65,-750,-64,-64,-65,-64,-64,-65,-750,-64,-65,-65,-65,-65,-65,-65,-750,-65,-65,-65,-1010,-64,-65,-750,-65,-64,-65,-64,-65,-65,-65,-64,-65,-65,-65,-65,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-64,-65,-65,-65,-65,-65,353,-64,-64,-65,-65,-65,-65,-64,-65,-65,-65,-64,-64,-65,-65,-65,-64,-65,-65,-65,-65,-65,-2,-64,-64,-65,-65,-65,-65,-65,-64,-65,-65,-64,-65,-65,-65,-64,-64,-65,-832,-65,-65,-65,-65,-64,-65,-65,-65,-750,-65,-65,-64,-65,-750,-65,-64,-65,-65,-64,-65,-718
contig_2809	2965971	51	N	N	1	*	-2777,2809,7428,7428,*
contig_1434	2913320	52	N	N	1	*	858,1434
contig_1861	2881204	51	N	N	1	*	1861,-1862,-119,118
contig_922	2865616	53	N	N	1	*	-8577,1835,2180,922,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114
contig_1087	2860219	53	N	N	1	*	4925,-4928,4926,1087,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208,6208
contig_1226	2849374	51	N	N	1	*	-1699,1226,2843,2843,2843,2843,2843,2843,2843,2843,2843
scaffold_1075	2800226	42	N	N	1	*	-2013,1075,5563,??,-4923,4927
contig_279	2714904	53	N	N	1	*	-2572,64,64,64,832,64,64,64,64,64,64,64,64,64,65,65,64,65,65,65,64,64,64,776,64,64,-1017,65,64,64,64,64,64,64,64,64,64,64,64,64,64,65,64,65,64,65,64,64,64,64,64,2,64,65,-353,64,64,64,279,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,301,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-829,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46
contig_1176	2624897	50	N	N	1	*	3528,3525,3526,3525,3525,1176,-62,-62,-62,-61,-60,-60
scaffold_2397	2621773	54	N	N	1	*	8680,2397,??,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7158,7160,-7159,7156,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7158,-7159,7156,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7158,1300,-1705,-562,-1706,1971,3750,3746,3745,-1972,2203,4998,4999,-4997,-2202,1971
contig_1813	2617735	50	N	N	1	*	1813
contig_614	2606449	52	N	N	1	*	614,723,-46,-46,-46,-46,724,1215,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,725,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1058,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1216,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46
contig_987	2542283	51	N	N	1	*	987,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114,-114
contig_1652	2521349	53	N	N	1	*	1652,-2704,-9,-9,-9,-9,-9,-9,2048,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,-2049
contig_1236	2476502	51	N	N	1	*	1227,1227,1228,1229,1229,1229,1230,1231,1232,1233,1227,1227,1227,1227,1228,1229,1302,1231,1232,1233,1304,1227,1227,1227,1227,1227,1227,1229,1236,-1856
